Date,PM10,SO2,CO,O3,NO2
20180101,54.417,0.003,0.350,0.021,0.019
20180102,86.583,0.004,0.454,0.019,0.031
20180104,55.583,0.004,0.388,0.014,0.039
20180105,62.292,0.004,0.363,0.017,0.030
20180106,42.958,0.002,0.308,0.023,0.023
20180107,52.708,0.005,0.483,0.010,0.052
20180108,48.167,0.004,0.417,0.013,0.038
20180112,30.417,0.002,0.312,0.021,0.020
20180113,45.667,0.003,0.396,0.018,0.029
20180114,71.375,0.005,0.550,0.011,0.052
20180115,61.875,0.008,0.575,0.012,0.055
20180116,61.708,0.006,0.579,0.013,0.067
20180117,32.000,0.004,0.413,0.018,0.036
20180119,97.500,0.005,0.454,0.018,0.039
20180120,91.833,0.006,0.467,0.020,0.037
20180121,88.917,0.006,0.462,0.023,0.035
20180122,67.375,0.006,0.429,0.023,0.034
20180124,33.792,0.002,0.300,0.024,0.016
20180125,25.875,0.002,0.300,0.024,0.016
20180126,29.208,0.003,0.312,0.021,0.023
20180127,45.250,0.004,0.412,0.013,0.044
20180128,36.917,0.004,0.350,0.024,0.022
20180130,52.625,0.003,0.321,0.021,0.024
20180131,55.083,0.004,0.362,0.018,0.036
20180201,70.583,0.005,0.404,0.018,0.036
20180202,52.500,0.005,0.371,0.018,0.035
20180203,51.625,0.004,0.321,0.025,0.020
20180204,32.083,0.004,0.300,0.025,0.013
20180207,37.333,0.005,0.450,0.014,0.025
20180208,54.875,0.008,0.525,0.010,0.040
20180209,72.833,0.009,0.621,0.011,0.044
20180210,82.125,0.009,0.504,0.023,0.024
20180211,68.250,0.006,0.400,0.022,0.012
20180213,57.583,0.006,0.446,0.016,0.025
20180214,68.667,0.008,0.417,0.027,0.019
20180215,89.375,0.012,0.571,0.017,0.034
20180216,70.292,0.009,0.550,0.018,0.029
20180217,38.500,0.007,0.375,0.025,0.013
20180218,36.708,0.010,0.425,0.015,0.024
20180220,93.500,0.005,0.579,0.021,0.037
20180221,63.000,0.006,0.471,0.020,0.033
20180222,58.750,0.005,0.471,0.023,0.030
20180223,85.167,0.005,0.533,0.028,0.029
20180224,91.250,0.007,0.588,0.026,0.034
20180225,77.125,0.008,0.529,0.020,0.034
20180226,79.292,0.006,0.554,0.019,0.042
20180227,74.833,0.006,0.592,0.019,0.048
20180301,36.958,0.004,0.417,0.034,0.015
20180302,50.458,0.006,0.471,0.020,0.034
20180303,65.458,0.007,0.562,0.015,0.045
20180304,53.292,0.011,0.537,0.016,0.041
20180306,52.208,0.005,0.425,0.022,0.027
20180307,49.000,0.005,0.408,0.022,0.027
20180308,22.792,0.004,0.413,0.020,0.024
20180309,48.917,0.005,0.513,0.014,0.034
20180310,57.958,0.007,0.508,0.019,0.033
20180311,70.250,0.008,0.496,0.026,0.030
20180314,54.625,0.007,0.450,0.019,0.040
20180315,50.250,0.004,0.496,0.015,0.040
20180316,46.167,0.002,0.421,0.026,0.023
20180317,42.708,0.005,0.421,0.022,0.027
20180318,55.833,0.010,0.479,0.014,0.035
20180320,49.375,0.004,0.396,0.026,0.020
20180321,20.875,0.002,0.396,0.023,0.019
20180322,30.917,0.004,0.417,0.020,0.024
20180323,63.708,0.006,0.583,0.015,0.046
20180324,90.250,0.008,0.588,0.032,0.037
20180325,106.167,0.007,0.567,0.034,0.033
20180327,91.333,0.009,0.542,0.029,0.045
20180328,97.667,0.009,0.575,0.020,0.049
20180330,64.833,0.006,0.429,0.029,0.028
20180331,67.208,0.009,0.483,0.021,0.042
20180401,86.667,0.010,0.475,0.026,0.035
20180403,60.042,0.008,0.413,0.018,0.031
20180404,61.125,0.007,0.458,0.014,0.038
20180405,43.583,0.004,0.462,0.019,0.034
20180406,83.583,0.003,0.429,0.025,0.019
20180407,64.875,0.003,0.396,0.031,0.012
20180408,52.500,0.004,0.413,0.034,0.018
20180410,80.625,0.006,0.454,0.027,0.034
20180411,70.292,0.005,0.408,0.030,0.025
20180412,51.333,0.006,0.429,0.025,0.031
20180413,59.042,0.005,0.425,0.027,0.029
20180414,40.917,0.005,0.467,0.020,0.031
20180415,172.500,0.004,0.421,0.031,0.015
20180417,116.208,0.009,0.483,0.020,0.034
20180418,143.125,0.010,0.529,0.024,0.044
20180419,96.083,0.009,0.550,0.018,0.052
20180420,114.167,0.019,0.642,0.019,0.076
20180421,105.958,0.010,0.525,0.027,0.047
20180422,73.667,0.008,0.438,0.027,0.026
20180423,42.375,0.004,0.467,0.025,0.027
20180424,26.625,0.004,0.496,0.026,0.026
20180425,47.167,0.007,0.462,0.024,0.036
20180427,73.083,0.009,0.483,0.030,0.034
20180428,78.708,0.011,0.471,0.021,0.041
20180429,101.792,0.008,0.529,0.040,0.029
20180430,79.167,0.006,0.487,0.037,0.030
20180501,110.833,0.032,0.550,0.019,0.059
20180502,58.500,0.012,0.529,0.018,0.042
20180504,55.833,0.006,0.404,0.030,0.028
20180505,55.458,0.007,0.379,0.033,0.025
20180506,42.958,0.008,0.446,0.026,0.030
20180507,37.750,0.008,0.542,0.020,0.033
20180508,37.500,0.006,0.425,0.030,0.026
20180510,58.750,0.009,0.471,0.023,0.034
20180511,65.875,0.008,0.475,0.026,0.040
20180512,70.708,0.011,0.400,0.021,0.035
20180513,37.458,0.008,0.429,0.023,0.026
20180514,83.083,0.011,0.562,0.027,0.047
20180515,90.667,0.011,0.575,0.026,0.047
20180517,33.417,0.005,0.383,0.011,0.018
20180521,52.083,0.005,0.433,0.023,0.026
20180522,49.208,0.012,0.429,0.021,0.030
20180523,44.125,0.009,0.433,0.020,0.034
20180524,82.958,0.008,0.488,0.023,0.040
20180526,88.500,0.014,0.475,0.028,0.043
20180527,105.917,0.019,0.500,0.021,0.044
20180528,85.708,0.018,0.483,0.015,0.047
20180529,91.875,0.019,0.517,0.012,0.051
20180530,80.042,0.014,0.500,0.012,0.045
20180531,63.792,0.009,0.433,0.029,0.033
20180602,73.292,0.014,0.554,0.027,0.050
20180603,86.750,0.012,0.492,0.027,0.040
20180604,73.292,0.013,0.467,0.018,0.042
20180606,76.833,0.017,0.475,0.028,0.039
20180607,100.292,0.011,0.562,0.024,0.045
20180608,96.292,0.013,0.562,0.033,0.047
20180609,62.000,0.008,0.442,0.031,0.027
20180610,39.625,0.008,0.400,0.026,0.018
20180611,31.250,0.006,0.458,0.016,0.023
20180612,44.583,0.010,0.408,0.015,0.027
20180613,43.958,0.009,0.400,0.021,0.021
20180615,40.625,0.009,0.400,0.022,0.023
20180616,35.458,0.010,0.396,0.020,0.022
20180617,38.750,0.017,0.413,0.020,0.027
20180724,29.958,0.005,0.275,0.014,0.023
20180725,37.250,0.007,0.362,0.027,0.030
20180726,60.333,0.020,0.442,0.041,0.049
20180727,50.167,0.015,0.358,0.015,0.039
20180728,42.542,0.006,0.337,0.024,0.022
20180729,30.750,0.003,0.279,0.022,0.012
20180730,32.083,0.005,0.304,0.023,0.023
20180801,26.167,0.004,0.317,0.024,0.025
20180802,23.917,0.004,0.287,0.023,0.019
20180803,30.583,0.006,0.279,0.023,0.021
20180804,27.583,0.005,0.233,0.025,0.015
20180805,32.125,0.006,0.312,0.038,0.022
20180807,27.042,0.004,0.342,0.024,0.020
20180808,25.458,0.006,0.337,0.024,0.023
20180809,28.167,0.007,0.333,0.022,0.024
20180810,30.083,0.004,0.358,0.013,0.025
20180811,20.000,0.004,0.333,0.018,0.016
20180812,24.375,0.006,0.304,0.021,0.017
20180814,27.750,0.007,0.292,0.015,0.023
20180815,21.583,0.004,0.254,0.020,0.015
20180816,27.792,0.008,0.325,0.015,0.022
20180817,27.167,0.003,0.292,0.025,0.017
20180818,26.917,0.003,0.283,0.025,0.016
20180819,26.083,0.012,0.258,0.030,0.022
20180821,37.375,0.011,0.317,0.022,0.030
20180822,27.250,0.003,0.213,0.014,0.012
20180823,22.250,0.003,0.212,0.014,0.012
20180824,29.708,0.003,0.233,0.022,0.014
20180825,25.542,0.005,0.400,0.027,0.024
20180826,30.167,0.020,0.283,0.008,0.023
20180828,26.417,0.006,0.258,0.009,0.019
20180829,20.333,0.006,0.233,0.010,0.014
20180830,17.167,0.004,0.275,0.012,0.019
20180831,14.208,0.004,0.279,0.014,0.016
20180901,16.542,0.004,0.333,0.025,0.023
20180902,18.167,0.004,0.317,0.021,0.018
20180903,20.083,0.005,0.312,0.012,0.020
20180904,17.042,0.004,0.233,0.034,0.017
20180905,24.458,0.005,0.300,0.041,0.020
20180907,27.875,0.004,0.358,0.039,0.030
