Date,PM10,SO2,CO,O3,NO2
20150101,41.708,0.006,0.337,0.025,0.010
20150102,30.208,0.006,0.413,0.024,0.015
20150103,27.625,0.009,0.508,0.020,0.022
20150104,50.083,0.012,0.829,0.015,0.034
20150105,87.125,0.014,1.083,0.010,0.047
20150107,26.542,0.007,0.362,0.026,0.017
20150108,48.042,0.008,0.492,0.019,0.023
20150109,52.375,0.008,0.546,0.019,0.023
20150110,51.292,0.009,0.583,0.019,0.024
20150111,48.542,0.009,0.533,0.025,0.020
20150112,45.958,0.008,0.546,0.020,0.024
20150113,42.125,0.011,0.654,0.012,0.036
20150114,40.667,0.010,0.779,0.010,0.038
20150115,32.958,0.008,0.625,0.018,0.025
20150116,73.917,0.012,0.954,0.019,0.026
20150117,37.333,0.008,0.508,0.027,0.015
20150118,20.375,0.007,0.350,0.028,0.015
20150119,69.208,0.010,0.588,0.027,0.020
20150120,63.250,0.010,0.675,0.018,0.032
20150121,61.792,0.012,0.733,0.014,0.036
20150122,31.125,0.008,0.600,0.019,0.024
20150123,44.125,0.009,0.588,0.021,0.028
20150124,55.833,0.009,0.567,0.021,0.025
20150125,57.667,0.013,0.662,0.014,0.037
20150126,38.708,0.010,0.713,0.012,0.032
20150128,30.458,0.006,0.442,0.021,0.019
20150130,31.125,0.007,0.467,0.024,0.017
20150131,28.667,0.006,0.458,0.022,0.020
20150201,29.000,0.007,0.500,0.019,0.026
20150202,39.708,0.008,0.642,0.014,0.035
20150203,41.083,0.008,0.629,0.015,0.036
20150205,86.750,0.008,0.721,0.031,0.021
20150206,55.333,0.007,0.546,0.025,0.026
20150207,53.792,0.008,0.558,0.020,0.027
20150208,53.417,0.007,0.383,0.033,0.011
20150209,25.792,0.005,0.350,0.026,0.014
20150211,82.792,0.013,0.604,0.030,0.031
20150212,65.917,0.010,0.479,0.031,0.021
20150213,26.917,0.008,0.404,0.025,0.020
20150214,45.250,0.010,0.492,0.025,0.027
20150215,111.042,0.015,0.750,0.024,0.042
20150216,61.167,0.010,0.562,0.024,0.030
20150217,64.583,0.008,0.513,0.027,0.018
20150218,61.125,0.008,0.567,0.033,0.014
20150219,45.875,0.009,0.562,0.028,0.020
20150220,28.667,0.008,0.458,0.025,0.023
20150221,32.042,0.013,0.442,0.017,0.028
20150222,40.458,0.012,0.483,0.021,0.024
20150223,211.042,0.008,0.496,0.022,0.021
20150225,129.542,0.007,0.562,0.012,0.039
20150226,84.042,0.005,0.487,0.018,0.029
20150227,38.333,0.005,0.408,0.021,0.023
20150228,50.917,0.005,0.429,0.020,0.026
20150301,38.375,0.004,0.388,0.025,0.016
20150302,101.375,0.005,0.433,0.018,0.028
20150303,48.708,0.004,0.483,0.013,0.033
20150304,43.333,0.004,0.325,0.024,0.017
20150306,43.042,0.005,0.379,0.019,0.030
20150307,47.000,0.007,0.425,0.015,0.037
20150308,42.542,0.007,0.388,0.022,0.028
20150309,51.625,0.006,0.329,0.030,0.019
20150310,37.417,0.003,0.292,0.027,0.013
20150313,82.500,0.007,0.363,0.037,0.028
20150314,65.208,0.008,0.329,0.022,0.035
20150315,55.250,0.007,0.375,0.018,0.041
20150317,109.417,0.012,0.496,0.008,0.060
20150318,45.167,0.008,0.425,0.017,0.036
20150319,46.750,0.005,0.383,0.019,0.036
20150320,92.375,0.007,0.433,0.013,0.039
20150321,108.208,0.009,0.467,0.017,0.052
20150322,136.458,0.008,0.350,0.041,0.022
20150326,56.625,0.007,0.337,0.024,0.042
20150327,78.208,0.008,0.346,0.028,0.045
20150328,58.000,0.009,0.350,0.018,0.044
20150329,44.250,0.009,0.288,0.024,0.035
20150331,98.000,0.012,0.379,0.012,0.053
20150401,47.917,0.007,0.379,0.013,0.037
20150402,50.042,0.005,0.325,0.022,0.033
20150403,43.792,0.006,0.300,0.017,0.022
20150404,29.875,0.006,0.283,0.025,0.025
20150405,30.875,0.006,0.288,0.019,0.028
20150406,35.500,0.004,0.350,0.014,0.030
20150407,47.208,0.005,0.296,0.020,0.027
20150408,41.750,0.005,0.292,0.019,0.028
20150409,36.167,0.005,0.271,0.021,0.028
20150410,41.333,0.006,0.296,0.021,0.031
20150411,51.708,0.007,0.325,0.026,0.032
20150412,45.250,0.008,0.283,0.027,0.025
20150415,54.458,0.006,0.475,0.034,0.029
20150416,66.625,0.006,0.404,0.034,0.033
20150417,104.708,0.006,0.396,0.022,0.034
20150418,74.375,0.011,0.508,0.011,0.047
20150419,44.458,0.011,0.454,0.007,0.042
20150420,27.042,0.005,0.492,0.018,0.034
20150421,78.458,0.012,0.537,0.015,0.044
20150427,104.625,0.013,0.617,0.045,0.061
20150428,93.917,0.016,0.475,0.042,0.045
20150430,64.167,0.004,0.554,0.018,0.038
20150501,43.042,0.004,0.396,0.021,0.036
20150502,52.750,0.004,0.446,0.016,0.037
20150503,36.375,0.005,0.404,0.008,0.035
20150504,57.000,0.003,0.350,0.030,0.024
20150505,55.875,0.003,0.362,0.029,0.029
20150508,85.500,0.005,0.529,0.030,0.062
20150509,79.125,0.004,0.504,0.030,0.045
20150510,63.875,0.003,0.371,0.037,0.023
20150511,55.833,0.004,0.438,0.021,0.036
20150512,47.000,0.003,0.496,0.030,0.029
20150513,83.458,0.003,0.396,0.039,0.035
20150515,68.917,0.004,0.483,0.008,0.036
20150516,79.000,0.005,0.504,0.014,0.037
20150517,68.500,0.004,0.500,0.021,0.044
20150520,65.000,0.008,0.400,0.007,0.033
20150521,54.583,0.008,0.438,0.006,0.040
20150522,55.458,0.010,0.475,0.007,0.049
20150523,63.417,0.012,0.496,0.005,0.052
20150524,65.792,0.016,0.625,0.008,0.056
20150525,76.000,0.011,0.579,0.008,0.054
20150526,80.125,0.013,0.588,0.009,0.064
20150527,87.167,0.019,0.612,0.007,0.067
20150529,61.500,0.012,0.483,0.010,0.051
20150530,77.750,0.016,0.500,0.010,0.048
20150531,61.417,0.009,0.429,0.011,0.031
20150602,59.792,0.008,0.404,0.024,0.036
20150603,53.208,0.007,0.375,0.029,0.031
20150604,59.250,0.012,0.433,0.023,0.052
20150605,34.750,0.007,0.392,0.019,0.039
20150606,30.500,0.008,0.371,0.029,0.031
20150607,26.042,0.008,0.308,0.030,0.027
20150608,50.333,0.011,0.446,0.014,0.036
20150609,74.625,0.012,0.488,0.017,0.046
20150610,83.500,0.018,0.542,0.022,0.055
20150611,39.375,0.007,0.429,0.020,0.034
20150612,83.958,0.007,0.575,0.030,0.041
20150613,107.667,0.011,0.525,0.030,0.041
20150614,57.875,0.010,0.412,0.021,0.037
20150616,101.042,0.014,0.529,0.019,0.023
20150617,58.250,0.008,0.425,0.027,0.025
20150618,52.958,0.006,0.392,0.029,0.023
20150619,37.625,0.006,0.417,0.028,0.021
20150620,40.583,0.016,0.425,0.012,0.017
20150621,45.833,0.014,0.396,0.019,0.018
20150622,53.208,0.008,0.421,0.021,0.017
20150623,55.458,0.013,0.483,0.025,0.021
20150624,68.167,0.008,0.492,0.023,0.020
20150625,46.750,0.007,0.375,0.020,0.017
20150626,31.792,0.008,0.429,0.014,0.011
20150627,36.708,0.012,0.408,0.010,0.012
20150628,32.458,0.007,0.337,0.018,0.011
20150629,36.792,0.012,0.354,0.011,0.008
20150630,41.833,0.010,0.454,0.007,0.010
20150701,36.042,0.008,0.450,0.019,0.014
20150702,53.042,0.010,0.496,0.016,0.015
20150704,37.792,0.009,0.383,0.022,0.019
20150705,35.125,0.010,0.354,0.024,0.016
20150706,39.625,0.012,0.383,0.013,0.021
20150707,24.292,0.008,0.392,0.013,0.021
20150708,21.542,0.008,0.479,0.008,0.018
20150709,17.625,0.006,0.383,0.018,0.016
20150712,28.958,0.009,0.246,0.008,0.007
20150713,55.083,0.007,0.383,0.025,0.021
20150714,90.750,0.011,0.492,0.027,0.028
20150715,86.083,0.014,0.562,0.023,0.029
20150716,28.417,0.006,0.342,0.026,0.009
20150717,29.917,0.008,0.338,0.014,0.018
20150718,38.833,0.015,0.333,0.014,0.022
20150719,31.708,0.011,0.358,0.023,0.018
20150721,47.708,0.018,0.462,0.007,0.034
20150722,50.208,0.013,0.383,0.007,0.029
20150723,32.833,0.004,0.317,0.011,0.021
20150724,33.042,0.003,0.267,0.011,0.016
20150725,27.417,0.004,0.217,0.012,0.014
20150726,32.000,0.009,0.250,0.013,0.015
20150727,44.625,0.007,0.371,0.014,0.029
20150728,50.583,0.008,0.421,0.021,0.036
20150729,60.708,0.007,0.371,0.023,0.036
20150730,63.833,0.007,0.371,0.020,0.035
20150731,56.417,0.008,0.354,0.019,0.036
20150801,61.667,0.009,0.429,0.019,0.038
20150802,36.875,0.006,0.246,0.017,0.023
20150803,31.875,0.005,0.279,0.017,0.022
20150804,29.208,0.005,0.225,0.015,0.019
20150806,71.250,0.017,0.504,0.018,0.051
20150807,51.792,0.011,0.337,0.015,0.032
20150808,41.500,0.010,0.300,0.020,0.025
20150809,60.792,0.012,0.367,0.035,0.033
20150810,50.667,0.008,0.383,0.035,0.038
20150811,55.125,0.010,0.425,0.021,0.049
20150812,16.292,0.004,0.329,0.020,0.022
20150813,24.542,0.006,0.342,0.021,0.030
20150814,59.333,0.008,0.479,0.033,0.040
20150815,68.708,0.017,0.500,0.031,0.046
20150816,41.792,0.005,0.342,0.039,0.021
20150817,25.583,0.006,0.404,0.024,0.026
20150818,33.958,0.006,0.338,0.018,0.026
20150819,30.542,0.005,0.312,0.018,0.025
20150820,36.458,0.008,0.388,0.013,0.031
20150821,21.208,0.004,0.396,0.015,0.031
20150822,44.833,0.006,0.421,0.023,0.037
20150823,54.542,0.008,0.404,0.036,0.033
20150824,27.333,0.005,0.358,0.021,0.025
20150826,27.083,0.007,0.296,0.014,0.028
20150827,33.542,0.008,0.338,0.019,0.031
20150828,59.833,0.008,0.438,0.028,0.035
20150829,71.333,0.015,0.471,0.024,0.041
20150830,89.708,0.014,0.496,0.038,0.037
20150831,50.083,0.006,0.379,0.032,0.027
20150901,25.958,0.007,0.321,0.027,0.030
20150902,38.458,0.008,0.329,0.019,0.030
20150903,49.083,0.006,0.442,0.029,0.037
20150904,49.000,0.006,0.375,0.031,0.029
20150905,39.917,0.006,0.337,0.024,0.026
20150906,22.167,0.005,0.300,0.041,0.021
20150907,30.333,0.005,0.267,0.029,0.020
20150909,40.333,0.005,0.292,0.027,0.023
20150910,42.083,0.007,0.271,0.024,0.030
20150911,63.833,0.010,0.408,0.026,0.045
20150912,48.000,0.008,0.425,0.019,0.029
20150913,40.500,0.007,0.300,0.024,0.026
20150914,45.417,0.007,0.367,0.024,0.033
20150915,36.083,0.006,0.292,0.021,0.026
20151023,41.833,0.007,0.483,0.018,0.031
20151024,77.792,0.004,0.625,0.029,0.032
20151025,32.167,0.004,0.362,0.027,0.023
20151103,68.708,0.009,0.554,0.027,0.039
20151104,66.292,0.007,0.683,0.013,0.047
20151105,73.083,0.010,0.746,0.012,0.048
20151112,27.833,0.005,0.462,0.023,0.031
20151113,17.375,0.006,0.487,0.017,0.031
20151114,40.292,0.008,0.712,0.005,0.028
20151115,53.750,0.008,0.579,0.008,0.026
20151116,49.625,0.011,0.608,0.007,0.032
