Date,PM10,SO2,CO,O3,NO2
20160103,66.333,0.007,0.958,0.011,0.044
20160104,91.292,0.005,0.779,0.022,0.040
20160105,40.167,0.003,0.538,0.019,0.030
20160106,43.750,0.003,0.513,0.022,0.026
20160108,34.333,0.004,0.442,0.019,0.020
20160109,34.750,0.004,0.487,0.020,0.023
20160110,37.458,0.005,0.517,0.024,0.022
20160113,37.750,0.004,0.438,0.020,0.021
20160114,37.583,0.005,0.487,0.018,0.025
20160116,87.125,0.007,0.658,0.013,0.039
20160117,45.708,0.007,0.546,0.022,0.025
20160118,38.417,0.005,0.442,0.026,0.015
20160120,36.833,0.004,0.425,0.022,0.020
20160121,42.167,0.004,0.442,0.018,0.027
20160122,33.042,0.004,0.404,0.019,0.026
20160123,51.500,0.005,0.454,0.025,0.018
20160126,55.875,0.005,0.533,0.021,0.027
20160127,84.750,0.010,0.763,0.014,0.042
20160128,71.458,0.007,0.754,0.017,0.040
20160129,14.250,0.005,0.525,0.027,0.020
20160130,21.458,0.006,0.533,0.022,0.023
20160131,60.542,0.006,0.608,0.021,0.021
20160201,27.750,0.005,0.471,0.025,0.022
20160202,33.375,0.005,0.500,0.020,0.029
20160203,43.333,0.006,0.546,0.021,0.030
20160205,38.375,0.006,0.550,0.024,0.029
20160206,40.792,0.006,0.562,0.029,0.022
20160207,29.958,0.007,0.533,0.026,0.025
20160208,41.333,0.007,0.533,0.034,0.022
20160209,53.833,0.007,0.542,0.034,0.019
20160210,30.042,0.009,0.529,0.020,0.032
20160211,41.000,0.008,0.654,0.014,0.044
20160212,46.083,0.009,0.754,0.008,0.046
20160213,29.417,0.010,0.704,0.010,0.036
20160214,20.167,0.006,0.492,0.030,0.013
20160215,26.708,0.004,0.429,0.030,0.015
20160216,32.417,0.005,0.525,0.025,0.021
20160217,27.667,0.007,0.492,0.024,0.024
20160218,38.500,0.007,0.513,0.027,0.027
20160219,64.125,0.011,0.683,0.023,0.043
20160220,70.542,0.010,0.662,0.018,0.038
20160221,32.000,0.006,0.479,0.031,0.020
20160222,41.667,0.008,0.600,0.013,0.040
20160223,74.417,0.008,0.571,0.027,0.028
20160224,37.750,0.008,0.533,0.020,0.029
20160225,37.042,0.006,0.504,0.029,0.024
20160226,85.542,0.009,0.654,0.029,0.037
20160227,109.792,0.011,0.675,0.034,0.040
20160228,102.792,0.010,0.675,0.032,0.035
20160301,39.792,0.003,0.533,0.029,0.023
20160302,54.750,0.005,0.571,0.025,0.034
20160303,33.875,0.005,0.575,0.020,0.038
20160304,37.208,0.008,0.804,0.005,0.046
20160305,77.750,0.011,0.608,0.014,0.038
20160306,43.667,0.005,0.550,0.017,0.034
20160307,63.875,0.006,0.600,0.018,0.036
20160308,76.542,0.004,0.579,0.019,0.032
20160309,34.958,0.002,0.517,0.024,0.025
20160311,40.333,0.004,0.412,0.023,0.028
20160312,47.917,0.006,0.425,0.020,0.032
20160313,58.792,0.007,0.487,0.021,0.037
20160316,71.750,0.007,0.650,0.018,0.055
20160317,77.625,0.007,0.654,0.018,0.055
20160318,33.750,0.004,0.625,0.006,0.049
20160319,74.125,0.004,0.592,0.022,0.032
20160320,51.625,0.003,0.487,0.028,0.024
20160321,36.333,0.005,0.429,0.024,0.031
20160322,62.375,0.007,0.588,0.020,0.046
20160323,59.542,0.004,0.504,0.026,0.032
20160325,29.083,0.004,0.442,0.022,0.031
20160327,52.542,0.004,0.479,0.035,0.028
20160328,65.542,0.006,0.542,0.032,0.042
20160330,87.333,0.010,0.604,0.031,0.056
20160331,121.042,0.013,0.750,0.022,0.062
