Date,PM10,SO2,CO,O3,NO2
20170610,71.417,0.004,0.458,0.047,0.044
20170611,47.958,0.005,0.292,0.043,0.025
20170612,42.667,0.002,0.246,0.033,0.027
20170614,77.792,0.007,0.404,0.030,0.060
20170615,79.167,0.008,0.446,0.048,0.058
20170616,51.042,0.005,0.321,0.033,0.033
20170617,37.792,0.006,0.308,0.027,0.032
20170618,50.042,0.011,0.350,0.026,0.044
20170619,82.500,0.010,0.446,0.020,0.065
20170620,72.833,0.009,0.400,0.021,0.054
20170621,50.833,0.005,0.346,0.040,0.045
20170623,67.125,0.013,0.379,0.016,0.055
20170624,64.583,0.008,0.371,0.031,0.048
20170625,67.417,0.016,0.371,0.018,0.044
20170626,64.042,0.005,0.346,0.028,0.040
20170627,51.042,0.008,0.337,0.028,0.042
20170629,88.000,0.010,0.479,0.011,0.061
20170630,41.333,0.006,0.358,0.017,0.045
20170701,37.417,0.007,0.221,0.013,0.028
20170702,31.542,0.004,0.204,0.006,0.023
20170703,28.750,0.003,0.212,0.005,0.022
20170705,47.208,0.019,0.304,0.007,0.049
20170707,39.333,0.005,0.288,0.005,0.037
20170708,44.917,0.006,0.242,0.007,0.031
20170709,41.708,0.005,0.242,0.013,0.029
20170710,42.708,0.002,0.221,0.009,0.022
20170711,47.125,0.004,0.300,0.015,0.039
20170712,77.500,0.004,0.400,0.032,0.047
20170713,66.458,0.006,0.371,0.020,0.048
20170714,62.708,0.006,0.325,0.019,0.046
20170715,59.833,0.007,0.242,0.007,0.034
20170716,29.292,0.004,0.158,0.015,0.020
20170718,38.833,0.007,0.354,0.018,0.035
20170719,57.167,0.010,0.317,0.033,0.053
20170721,79.875,0.009,0.404,0.016,0.061
20170723,56.250,0.011,0.346,0.029,0.042
20170725,58.500,0.015,0.433,0.009,0.047
20170726,32.875,0.005,0.221,0.030,0.029
20170727,34.875,0.006,0.217,0.027,0.032
20170728,39.292,0.009,0.279,0.021,0.045
20170729,39.375,0.005,0.237,0.029,0.029
20170730,37.208,0.011,0.212,0.026,0.032
20170731,49.083,0.007,0.271,0.026,0.036
20170801,44.667,0.006,0.312,0.024,0.032
20170802,34.333,0.007,0.304,0.021,0.032
20170803,31.042,0.004,0.208,0.028,0.024
20170804,33.542,0.005,0.233,0.029,0.027
20170805,28.083,0.005,0.221,0.028,0.023
20170806,24.708,0.005,0.196,0.024,0.017
20170807,33.750,0.009,0.246,0.025,0.032
20170809,37.167,0.010,0.312,0.024,0.044
20170810,32.625,0.006,0.329,0.027,0.031
20170811,29.875,0.005,0.267,0.017,0.027
20170812,28.417,0.004,0.208,0.018,0.019
20170813,19.750,0.004,0.171,0.016,0.016
20170814,18.333,0.004,0.200,0.014,0.023
20170815,25.208,0.004,0.217,0.015,0.024
20170816,42.083,0.007,0.392,0.010,0.034
20170818,34.208,0.008,0.271,0.018,0.029
20170819,34.375,0.005,0.246,0.025,0.022
20170820,22.625,0.004,0.208,0.024,0.016
20170821,44.583,0.006,0.271,0.018,0.027
20170822,29.125,0.005,0.275,0.009,0.021
20170824,26.583,0.003,0.204,0.009,0.018
20170825,34.917,0.010,0.288,0.015,0.036
20170826,34.125,0.011,0.312,0.032,0.040
20170827,25.292,0.004,0.242,0.039,0.022
20170829,32.208,0.005,0.279,0.026,0.026
20170830,41.375,0.006,0.304,0.029,0.031
20170831,46.250,0.004,0.279,0.032,0.027
20170901,32.583,0.004,0.238,0.028,0.020
20170902,20.458,0.004,0.233,0.024,0.021
20170903,19.250,0.005,0.196,0.028,0.014
20170905,34.500,0.003,0.329,0.019,0.029
20170906,36.292,0.002,0.438,0.010,0.033
20170908,72.208,0.006,0.454,0.036,0.047
20170909,79.417,0.008,0.521,0.032,0.048
20170910,51.417,0.005,0.383,0.038,0.026
20170912,34.167,0.006,0.362,0.027,0.037
20170913,38.750,0.005,0.304,0.031,0.030
20170914,23.458,0.005,0.267,0.026,0.023
20170915,14.458,0.003,0.238,0.025,0.020
20170916,17.333,0.003,0.233,0.024,0.018
20170917,9.833,0.003,0.242,0.025,0.014
20170919,65.208,0.005,0.562,0.039,0.038
20170921,15.792,0.004,0.350,0.022,0.034
20170922,22.000,0.007,0.354,0.021,0.035
20170923,39.042,0.005,0.454,0.022,0.044
20170924,49.750,0.008,0.467,0.035,0.042
20170925,64.875,0.007,0.537,0.035,0.044
20170928,25.917,0.004,0.304,0.025,0.026
20170929,26.792,0.005,0.342,0.025,0.034
20170930,31.542,0.008,0.438,0.021,0.050
20171001,32.667,0.010,0.413,0.016,0.043
20171002,25.417,0.005,0.321,0.025,0.025
20171003,21.958,0.005,0.288,0.027,0.017
20171004,21.667,0.004,0.246,0.026,0.016
20171005,16.125,0.005,0.221,0.028,0.014
20171006,17.875,0.004,0.300,0.018,0.018
20171007,22.375,0.005,0.333,0.015,0.022
20171008,18.417,0.006,0.275,0.021,0.020
20171009,29.125,0.007,0.392,0.012,0.034
20171010,49.167,0.012,0.500,0.026,0.047
20171012,21.000,0.005,0.362,0.014,0.025
20171013,25.333,0.006,0.300,0.019,0.029
20171014,25.333,0.005,0.321,0.026,0.023
20171015,20.250,0.004,0.292,0.028,0.018
20171016,21.625,0.004,0.283,0.022,0.026
20171017,24.625,0.004,0.312,0.026,0.023
20171018,24.667,0.003,0.263,0.026,0.024
20171019,19.583,0.004,0.246,0.026,0.020
20171021,21.875,0.004,0.267,0.029,0.019
20171022,30.583,0.003,0.237,0.036,0.011
20171024,27.458,0.004,0.454,0.024,0.030
20171025,36.375,0.005,0.492,0.023,0.040
20171026,32.167,0.005,0.513,0.020,0.043
20171027,31.750,0.005,0.504,0.021,0.038
20171028,24.917,0.005,0.383,0.034,0.024
20171029,32.083,0.003,0.379,0.050,0.014
20171030,29.042,0.003,0.371,0.029,0.023
20171031,27.583,0.006,0.479,0.019,0.042
20171102,45.625,0.007,0.592,0.012,0.054
20171103,54.625,0.005,0.504,0.023,0.038
20171104,29.750,0.003,0.396,0.022,0.021
20171105,36.125,0.006,0.433,0.019,0.033
20171106,39.292,0.009,0.596,0.016,0.043
20171109,64.667,0.005,0.442,0.022,0.032
20171110,60.375,0.005,0.513,0.023,0.035
20171111,67.458,0.006,0.371,0.021,0.022
20171112,61.458,0.006,0.475,0.017,0.033
20171114,65.500,0.006,0.408,0.026,0.025
20171115,47.250,0.005,0.379,0.020,0.025
20171116,43.583,0.004,0.442,0.016,0.033
20171117,55.000,0.006,0.583,0.009,0.052
20171118,44.708,0.003,0.371,0.024,0.020
20171119,31.375,0.002,0.346,0.023,0.016
20171120,45.292,0.003,0.413,0.019,0.029
20171122,65.042,0.006,0.537,0.018,0.040
20171123,45.750,0.003,0.383,0.021,0.022
20171124,38.333,0.003,0.392,0.019,0.024
20171125,41.125,0.004,0.429,0.017,0.031
20171126,71.625,0.005,0.483,0.023,0.032
20171128,75.250,0.005,0.588,0.017,0.049
20171129,70.333,0.004,0.487,0.020,0.035
20171130,53.542,0.003,0.354,0.023,0.021
20171201,30.958,0.002,0.333,0.022,0.019
20171202,45.250,0.002,0.433,0.017,0.032
20171203,67.417,0.005,0.621,0.012,0.048
20171204,69.708,0.004,0.467,0.024,0.032
20171206,52.250,0.004,0.504,0.014,0.036
20171207,85.292,0.004,0.633,0.017,0.044
20171208,58.333,0.002,0.388,0.023,0.018
20171209,47.458,0.003,0.442,0.015,0.030
20171210,62.833,0.005,0.604,0.017,0.035
20171211,40.042,0.002,0.312,0.022,0.016
20171212,32.750,0.001,0.354,0.017,0.021
20171214,51.375,0.003,0.546,0.010,0.051
20171215,67.750,0.004,0.554,0.013,0.046
20171216,59.333,0.003,0.438,0.021,0.022
20171217,43.417,0.002,0.362,0.022,0.019
20171219,70.292,0.004,0.442,0.018,0.028
20171220,52.917,0.003,0.388,0.018,0.030
20171221,56.625,0.004,0.429,0.017,0.033
20171222,59.750,0.004,0.458,0.017,0.036
20171223,89.750,0.007,0.625,0.011,0.061
20171224,61.750,0.006,0.542,0.020,0.039
20171225,48.292,0.003,0.367,0.023,0.021
20171227,35.042,0.002,0.329,0.019,0.026
20171228,72.417,0.003,0.404,0.019,0.029
20171229,103.500,0.004,0.454,0.020,0.037
20171230,125.083,0.006,0.537,0.016,0.049
20171231,94.250,0.003,0.396,0.025,0.019
