Date,PM10,SO2,CO,O3,NO2
20200101,16.958,0.003,0.371,0.031,0.011
20200102,48.250,0.004,0.462,0.029,0.020
20200103,53.000,0.004,0.483,0.034,0.020
20200104,32.792,0.004,0.446,0.033,0.018
20200105,41.250,0.004,0.588,0.015,0.038
20200107,19.083,0.004,0.446,0.023,0.029
20200108,15.333,0.003,0.479,0.030,0.015
20200109,27.958,0.003,0.442,0.034,0.018
20200110,37.375,0.003,0.525,0.020,0.036
20200111,38.958,0.004,0.487,0.035,0.020
20200112,35.542,0.003,0.400,0.040,0.011
20200113,17.083,0.003,0.342,0.032,0.017
20200115,34.583,0.004,0.458,0.028,0.020
20200116,26.167,0.003,0.446,0.020,0.028
20200117,32.000,0.004,0.521,0.016,0.037
20200118,24.417,0.003,0.404,0.026,0.021
20200119,41.417,0.004,0.525,0.039,0.018
20200121,32.583,0.003,0.487,0.024,0.029
20200122,29.292,0.004,0.654,0.009,0.046
20200123,16.583,0.003,0.542,0.016,0.029
20200124,39.833,0.003,0.579,0.023,0.028
20200125,24.208,0.003,0.413,0.030,0.020
20200126,13.167,0.004,0.383,0.034,0.015
20200127,10.708,0.003,0.337,0.038,0.012
20200130,23.375,0.003,0.462,0.025,0.025
20200131,24.000,0.003,0.450,0.025,0.026
20200201,49.458,0.003,0.513,0.038,0.018
20200202,72.583,0.004,0.658,0.039,0.028
20200204,23.417,0.004,0.417,0.035,0.018
20200205,24.083,0.003,0.379,0.036,0.015
20200206,20.583,0.004,0.417,0.023,0.026
20200207,27.917,0.004,0.471,0.024,0.026
20200208,35.500,0.003,0.446,0.038,0.014
20200209,30.125,0.004,0.442,0.036,0.017
20200211,62.625,0.005,0.675,0.020,0.048
20200212,35.208,0.004,0.571,0.017,0.039
20200213,20.250,0.004,0.592,0.024,0.028
20200214,53.583,0.006,0.746,0.014,0.050
20200215,33.167,0.004,0.546,0.037,0.030
20200216,14.167,0.003,0.421,0.036,0.013
20200217,14.292,0.003,0.350,0.036,0.010
