Date,PM10,SO2,CO,O3,NO2
20140101,124.708,0.008,0.554,0.019,0.024
20140103,70.833,0.008,0.862,0.004,0.031
20140104,73.167,0.007,0.604,0.009,0.029
20140105,38.708,0.005,0.446,0.019,0.021
20140106,85.125,0.009,0.746,0.012,0.032
20140108,69.750,0.004,0.558,0.012,0.031
20140109,34.333,0.003,0.346,0.022,0.016
20140110,51.958,0.005,0.508,0.014,0.020
20140111,73.625,0.007,0.579,0.013,0.023
20140112,108.042,0.010,0.642,0.018,0.025
20140113,52.292,0.005,0.475,0.015,0.024
20140114,36.875,0.004,0.383,0.014,0.024
20140115,60.542,0.007,0.483,0.015,0.027
20140116,88.458,0.008,0.646,0.011,0.030
20140117,145.958,0.012,0.721,0.019,0.032
20140118,110.167,0.009,0.650,0.019,0.027
20140119,54.292,0.006,0.475,0.013,0.025
20140120,101.500,0.007,0.588,0.017,0.030
20140122,85.667,0.005,0.542,0.015,0.028
20140123,72.583,0.008,0.692,0.009,0.035
20140124,49.250,0.006,0.421,0.018,0.033
20140125,55.125,0.005,0.454,0.013,0.035
20140126,56.917,0.004,0.458,0.019,0.026
20140128,55.792,0.006,0.504,0.016,0.031
20140129,76.208,0.006,0.721,0.007,0.046
20140130,60.542,0.005,0.571,0.021,0.030
20140131,58.958,0.006,0.513,0.016,0.031
20140201,77.458,0.007,0.804,0.008,0.042
20140202,79.542,0.007,0.642,0.008,0.035
20140203,83.333,0.005,0.550,0.017,0.026
20140205,50.500,0.006,0.458,0.010,0.030
20140206,49.792,0.004,0.487,0.010,0.032
20140207,33.708,0.003,0.442,0.015,0.029
20140208,36.750,0.004,0.417,0.016,0.029
20140209,34.083,0.003,0.408,0.018,0.022
20140210,31.500,0.003,0.438,0.016,0.026
20140211,35.333,0.003,0.421,0.015,0.019
20140213,34.167,0.003,0.421,0.015,0.019
20140214,40.167,0.004,0.363,0.021,0.020
20140215,41.917,0.004,0.421,0.016,0.027
20140216,62.542,0.006,0.604,0.010,0.039
20140217,74.083,0.006,0.625,0.016,0.038
20140219,40.500,0.004,0.396,0.019,0.023
20140220,57.458,0.004,0.504,0.014,0.034
20140221,118.000,0.004,0.742,0.016,0.047
20140222,101.500,0.004,0.725,0.013,0.048
20140223,67.750,0.004,0.571,0.017,0.041
20140224,101.042,0.005,0.767,0.018,0.052
20140225,159.333,0.005,0.829,0.018,0.066
20140227,52.500,0.005,0.558,0.015,0.040
20140228,90.625,0.006,0.683,0.010,0.046
20140301,65.792,0.005,0.571,0.013,0.039
20140302,51.667,0.005,0.508,0.018,0.030
