Date,PM10,SO2,CO,O3,NO2
20190103,18.417,0.004,0.329,0.032,0.016
20190104,31.875,0.005,0.479,0.015,0.037
20190105,60.583,0.004,0.504,0.039,0.018
20190106,39.042,0.003,0.425,0.033,0.019
20190107,34.875,0.004,0.396,0.035,0.017
20190109,33.417,0.003,0.375,0.025,0.020
20190110,22.292,0.004,0.337,0.032,0.015
20190111,44.833,0.004,0.492,0.017,0.033
20190112,30.667,0.003,0.454,0.021,0.023
20190113,69.417,0.003,0.537,0.031,0.022
20190114,63.917,0.004,0.675,0.013,0.049
20190115,73.833,0.004,0.588,0.036,0.023
20190117,30.417,0.003,0.400,0.031,0.013
20190118,39.375,0.004,0.487,0.028,0.024
20190119,56.250,0.006,0.662,0.013,0.045
20190120,38.375,0.003,0.404,0.037,0.013
20190122,47.542,0.005,0.475,0.027,0.026
20190123,81.750,0.006,0.646,0.023,0.035
20190124,47.792,0.005,0.479,0.021,0.035
20190125,33.667,0.004,0.363,0.032,0.018
20190126,44.667,0.004,0.358,0.033,0.013
20190127,26.542,0.006,0.429,0.025,0.026
20190128,48.417,0.006,0.458,0.033,0.022
20190129,84.083,0.006,0.529,0.016,0.038
20190131,39.917,0.004,0.454,0.031,0.020
20190201,31.292,0.004,0.358,0.030,0.014
20190202,47.292,0.004,0.487,0.029,0.025
20190203,31.583,0.004,0.567,0.023,0.023
20190205,79.792,0.005,0.429,0.031,0.026
20190206,53.000,0.006,0.479,0.028,0.031
20190208,31.417,0.005,0.442,0.021,0.028
20190209,31.917,0.004,0.371,0.030,0.016
20190210,29.375,0.004,0.454,0.021,0.024
20190211,30.708,0.004,0.362,0.033,0.015
20190212,48.250,0.006,0.508,0.030,0.026
20190213,65.542,0.005,0.550,0.035,0.024
20190215,42.500,0.007,0.567,0.021,0.034
20190216,49.667,0.003,0.496,0.041,0.013
20190217,37.667,0.004,0.458,0.040,0.015
20190218,35.333,0.007,0.462,0.017,0.035
20190220,39.958,0.003,0.429,0.038,0.018
20190221,65.667,0.004,0.554,0.033,0.031
20190222,54.417,0.005,0.604,0.019,0.046
20190223,50.500,0.003,0.513,0.032,0.030
20190224,39.250,0.005,0.483,0.035,0.033
20190226,71.167,0.005,0.554,0.038,0.040
20190227,49.542,0.004,0.492,0.028,0.039
20190228,56.000,0.004,0.475,0.031,0.034
20190301,81.750,0.004,0.533,0.043,0.033
20190302,89.500,0.005,0.579,0.042,0.039
20190303,35.667,0.004,0.417,0.039,0.026
20190305,87.375,0.005,0.588,0.042,0.041
20190306,85.208,0.005,0.583,0.036,0.039
20190307,78.542,0.003,0.533,0.028,0.036
20190308,50.583,0.005,0.479,0.032,0.034
20190309,37.125,0.004,0.454,0.040,0.033
20190310,17.833,0.003,0.350,0.041,0.019
20190312,55.875,0.003,0.446,0.045,0.022
20190313,31.667,0.003,0.317,0.038,0.015
20190314,32.083,0.004,0.354,0.038,0.021
20190315,40.833,0.006,0.450,0.042,0.023
20190316,24.000,0.004,0.358,0.043,0.017
20190317,36.833,0.003,0.354,0.048,0.016
20190319,45.667,0.005,0.467,0.029,0.039
20190320,76.667,0.007,0.608,0.017,0.056
20190321,31.375,0.003,0.433,0.043,0.018
20190322,57.833,0.005,0.467,0.036,0.028
20190323,30.875,0.003,0.367,0.041,0.013
20190324,25.333,0.003,0.396,0.042,0.014
20190326,66.125,0.004,0.508,0.041,0.033
20190327,63.042,0.005,0.496,0.058,0.027
20190328,62.417,0.004,0.487,0.028,0.036
20190329,57.583,0.005,0.450,0.031,0.032
