Date,PM10,SO2,CO,O3,NO2
20210102,30.708,0.003,0.404,0.028,0.016
20210105,38.542,0.004,0.513,0.025,0.026
20210107,22.958,0.003,0.358,0.029,0.009
20210108,14.583,0.003,0.379,0.025,0.011
20210109,15.167,0.003,0.396,0.028,0.011
20210111,32.750,0.003,0.504,0.017,0.030
20210113,100.750,0.004,0.546,0.028,0.034
20210114,80.500,0.004,0.542,0.021,0.044
20210115,52.083,0.004,0.562,0.028,0.042
20210116,77.417,0.003,0.396,0.041,0.012
20210119,29.000,0.004,0.504,0.023,0.030
20210120,34.958,0.004,0.633,0.010,0.051
20210121,37.417,0.004,0.713,0.010,0.055
20210122,36.250,0.004,0.758,0.007,0.048
20210124,25.667,0.003,0.454,0.039,0.019
20210127,29.583,0.003,0.500,0.031,0.023
20210128,37.792,0.003,0.513,0.032,0.023
20210129,28.000,0.003,0.371,0.036,0.011
20210130,72.792,0.003,0.467,0.033,0.020
20210131,60.125,0.004,0.521,0.026,0.034
20210201,48.875,0.003,0.513,0.038,0.018
20210202,46.958,0.003,0.417,0.039,0.011
20210203,25.167,0.003,0.413,0.030,0.018
20210205,21.958,0.003,0.413,0.030,0.021
20210206,44.792,0.005,0.633,0.025,0.037
20210207,72.250,0.004,0.554,0.045,0.018
20210208,25.333,0.003,0.404,0.035,0.012
20210210,40.833,0.004,0.521,0.038,0.023
20210211,54.583,0.004,0.558,0.036,0.028
20210212,48.708,0.004,0.608,0.029,0.032
20210213,44.917,0.004,0.612,0.028,0.043
20210215,25.375,0.003,0.454,0.037,0.013
20210217,20.292,0.003,0.400,0.034,0.008
20210218,26.167,0.003,0.417,0.030,0.012
20210219,31.792,0.004,0.463,0.034,0.018
20210220,55.917,0.004,0.542,0.045,0.025
20210221,52.958,0.004,0.496,0.051,0.020
20210222,43.958,0.004,0.450,0.042,0.023
20210224,32.792,0.003,0.504,0.022,0.030
20210225,31.542,0.004,0.512,0.021,0.032
20210226,24.542,0.003,0.429,0.033,0.018
20210227,25.042,0.003,0.400,0.035,0.015
20210228,26.333,0.003,0.446,0.029,0.020
20210301,27.083,0.004,0.542,0.018,0.028
20210303,27.667,0.003,0.454,0.027,0.025
20210304,33.417,0.004,0.525,0.018,0.037
20210305,27.250,0.004,0.500,0.022,0.029
20210306,33.542,0.003,0.500,0.029,0.023
20210307,22.958,0.004,0.438,0.036,0.018
20210309,27.708,0.003,0.479,0.028,0.029
20210310,56.542,0.003,0.508,0.034,0.025
20210311,40.833,0.004,0.512,0.024,0.038
20210312,17.167,0.003,0.442,0.035,0.022
20210313,53.042,0.003,0.513,0.040,0.022
20210314,46.167,0.003,0.529,0.046,0.016
20210315,51.292,0.003,0.567,0.039,0.027
20210316,54.333,0.004,0.525,0.035,0.026
20210317,92.375,0.004,0.500,0.028,0.024
20210319,38.167,0.003,0.433,0.035,0.019
20210321,31.250,0.002,0.417,0.041,0.007
20210322,30.875,0.002,0.375,0.041,0.009
20210324,63.000,0.004,0.429,0.046,0.019
20210325,46.875,0.004,0.442,0.047,0.026
20210326,65.833,0.004,0.592,0.037,0.043
20210327,50.417,0.003,0.412,0.031,0.027
20210328,23.333,0.003,0.458,0.041,0.016
20210329,490.000,0.003,0.583,0.041,0.018
20210331,78.667,0.002,0.396,0.040,0.027
20210401,68.792,0.003,0.371,0.043,0.018
20210402,51.125,0.004,0.408,0.033,0.026
20210403,49.042,0.003,0.433,0.022,0.034
20210404,19.000,0.002,0.363,0.035,0.015
20210405,24.833,0.003,0.346,0.037,0.020
20210406,28.292,0.003,0.392,0.034,0.029
20210407,44.917,0.003,0.367,0.052,0.023
20210409,29.042,0.002,0.325,0.038,0.019
20210410,18.583,0.002,0.317,0.037,0.017
20210411,17.417,0.002,0.312,0.039,0.016
20210413,15.917,0.002,0.288,0.042,0.011
20210414,27.125,0.002,0.288,0.040,0.015
20210415,37.917,0.003,0.354,0.035,0.033
20210416,39.875,0.002,0.362,0.032,0.028
20210417,62.000,0.003,0.317,0.040,0.016
20210418,30.208,0.002,0.304,0.042,0.009
20210419,40.375,0.003,0.354,0.048,0.019
20210420,58.375,0.003,0.375,0.062,0.029
20210422,55.417,0.003,0.425,0.043,0.035
20210423,33.333,0.003,0.333,0.043,0.018
20210424,31.792,0.002,0.329,0.036,0.020
20210425,29.375,0.003,0.312,0.036,0.018
20210426,21.167,0.002,0.337,0.034,0.020
20210427,25.667,0.002,0.312,0.034,0.022
20210429,66.083,0.003,0.371,0.036,0.029
20210430,60.000,0.002,0.358,0.057,0.016
20210501,20.500,0.002,0.300,0.047,0.011
20210502,19.833,0.002,0.317,0.046,0.011
20210503,18.958,0.002,0.337,0.039,0.021
20210504,24.417,0.002,0.308,0.041,0.017
20210505,39.750,0.002,0.300,0.048,0.010
20210507,63.167,0.002,0.333,0.045,0.021
20210508,221.708,0.002,0.333,0.039,0.020
20210509,103.458,0.002,0.342,0.051,0.015
20210510,32.458,0.002,0.329,0.035,0.025
20210512,31.375,0.003,0.358,0.038,0.022
20210514,28.000,0.002,0.375,0.020,0.037
20210515,20.458,0.002,0.367,0.011,0.032
20210516,11.542,0.002,0.250,0.012,0.016
20210517,18.417,0.002,0.404,0.014,0.033
20210518,19.542,0.002,0.375,0.016,0.032
20210519,41.042,0.002,0.388,0.039,0.027
20210521,15.792,0.002,0.350,0.042,0.019
20210522,21.458,0.002,0.346,0.046,0.016
20210523,44.583,0.003,0.446,0.033,0.040
20210524,35.792,0.002,0.375,0.036,0.034
20210527,22.458,0.002,0.383,0.041,0.020
20210528,43.542,0.003,0.454,0.041,0.024
20210529,28.500,0.003,0.433,0.047,0.022
20210530,38.500,0.003,0.442,0.033,0.034
20210531,31.958,0.003,0.400,0.035,0.029
20210601,36.375,0.004,0.404,0.025,0.037
20210603,34.208,0.003,0.475,0.009,0.045
20210604,20.250,0.002,0.354,0.043,0.018
20210605,42.000,0.003,0.442,0.059,0.018
20210606,44.042,0.002,0.392,0.058,0.018
20210609,44.667,0.004,0.446,0.035,0.047
20210611,22.417,0.002,0.367,0.020,0.031
20210612,8.792,0.002,0.425,0.011,0.027
20210614,27.917,0.003,0.367,0.020,0.019
20210615,15.292,0.002,0.358,0.026,0.013
20210617,19.833,0.003,0.375,0.023,0.022
20210618,25.333,0.003,0.421,0.018,0.029
20210619,44.000,0.003,0.383,0.049,0.026
20210621,44.125,0.003,0.442,0.041,0.027
20210622,26.000,0.003,0.333,0.029,0.022
20210624,21.958,0.003,0.321,0.021,0.031
20210626,27.583,0.003,0.342,0.020,0.039
20210628,34.333,0.003,0.371,0.031,0.020
20210629,28.208,0.002,0.350,0.030,0.020
20210701,30.500,0.004,0.371,0.023,0.024
20210702,25.375,0.003,0.383,0.025,0.020
20210704,17.542,0.002,0.275,0.033,0.011
20210705,18.125,0.002,0.408,0.023,0.029
20210706,11.333,0.002,0.296,0.014,0.018
20210707,14.958,0.002,0.312,0.007,0.023
20210708,20.500,0.002,0.362,0.017,0.029
20210710,28.458,0.002,0.396,0.036,0.022
20210712,25.500,0.002,0.300,0.022,0.019
20210714,17.375,0.002,0.317,0.008,0.017
20210715,19.458,0.002,0.317,0.009,0.021
20210716,27.875,0.002,0.346,0.026,0.022
20210717,15.833,0.002,0.308,0.020,0.013
20210718,11.292,0.002,0.296,0.022,0.010
20210719,20.375,0.002,0.333,0.019,0.017
20210720,17.917,0.002,0.317,0.014,0.015
20210722,25.583,0.002,0.321,0.024,0.016
20210724,21.083,0.003,0.329,0.025,0.016
20210726,19.292,0.002,0.312,0.021,0.016
20210728,18.292,0.002,0.288,0.016,0.014
20210729,18.833,0.003,0.300,0.014,0.022
20210730,22.458,0.003,0.267,0.021,0.017
20210731,17.375,0.003,0.296,0.019,0.019
20210801,24.000,0.003,0.342,0.037,0.017
20210802,18.750,0.003,0.279,0.014,0.014
20210804,25.875,0.003,0.288,0.019,0.026
20210805,23.167,0.003,0.317,0.017,0.027
20210806,23.542,0.003,0.317,0.022,0.023
20210808,12.583,0.002,0.279,0.023,0.013
20210809,14.000,0.002,0.250,0.029,0.016
20210810,23.458,0.003,0.346,0.025,0.019
20210812,19.792,0.003,0.362,0.032,0.023
20210813,16.000,0.002,0.379,0.030,0.023
20210814,13.083,0.002,0.333,0.041,0.013
20210815,17.042,0.003,0.333,0.031,0.010
20210816,20.750,0.002,0.304,0.028,0.012
20210817,11.417,0.002,0.317,0.030,0.012
20210819,20.000,0.002,0.350,0.030,0.021
20210820,22.083,0.003,0.342,0.026,0.026
20210822,18.958,0.002,0.383,0.048,0.014
20210823,17.625,0.003,0.417,0.022,0.023
20210824,25.792,0.002,0.271,0.022,0.012
20210826,34.708,0.003,0.396,0.030,0.030
20210828,21.333,0.003,0.346,0.032,0.022
20210829,17.083,0.002,0.267,0.025,0.012
