Date,PM10,SO2,CO,O3,NO2
20120605,46.542,0.016,0.533,0.008,0.047
20120606,46.625,0.009,0.467,0.019,0.038
20120608,28.417,0.004,0.496,0.016,0.039
20120609,42.083,0.008,0.55,0.012,0.039
20120610,32.458,0.005,0.446,0.025,0.028
20120611,46.333,0.009,0.492,0.017,0.035
20120613,33.458,0.007,0.504,0.013,0.03
20120614,35.5,0.007,0.471,0.014,0.03
20120615,30.833,0.005,0.496,0.014,0.034
20120616,27.75,0.006,0.442,0.017,0.036
20120617,48.25,0.008,0.554,0.02,0.041
20120618,37.958,0.006,0.567,0.011,0.043
20120619,14.5,0.004,0.467,0.014,0.028
20120621,37.792,0.005,0.492,0.021,0.032
20120622,32.708,0.012,0.442,0.013,0.035
20120624,31.458,0.007,0.458,0.018,0.029
20120625,28.5,0.005,0.404,0.02,0.026
20120627,19.792,0.005,0.417,0.013,0.025
20120628,32.5,0.004,0.425,0.017,0.027
20120629,44.375,0.01,0.446,0.013,0.034
20120630,27.167,0.004,0.371,0.006,0.019
20120702,46.75,0.009,0.629,0.012,0.037
20120703,33.625,0.008,0.554,0.012,0.033
20120705,30.167,0.008,0.479,0.007,0.028
20120706,32.0,0.005,0.446,0.005,0.025
20120707,27.208,0.007,0.579,0.011,0.033
20120708,32.5,0.011,0.479,0.01,0.026
20120709,64.917,0.007,0.654,0.015,0.042
20120710,49.833,0.011,0.55,0.014,0.042
20120712,60.708,0.009,0.733,0.01,0.036
20120714,32.333,0.008,0.571,0.005,0.032
20120715,19.667,0.003,0.35,0.008,0.015
20120716,35.125,0.009,0.467,0.006,0.021
20120717,39.208,0.01,0.537,0.006,0.022
20120719,42.042,0.006,0.438,0.006,0.029
20120720,38.0,0.008,0.496,0.007,0.027
20120721,37.958,0.009,0.496,0.008,0.03
20120722,38.25,0.008,0.438,0.01,0.025
20120724,32.167,0.008,0.483,0.004,0.021
20120725,49.917,0.01,0.575,0.004,0.033
20120726,56.542,0.011,0.621,0.008,0.04
20120727,32.625,0.007,0.413,0.007,0.021
20120728,26.083,0.007,0.487,0.009,0.026
20120729,23.458,0.009,0.467,0.005,0.023
20120730,18.125,0.007,0.408,0.005,0.017
20120731,39.292,0.018,0.529,0.005,0.025
20120801,38.958,0.007,0.446,0.009,0.023
20120803,29.625,0.005,0.388,0.009,0.016
20120804,40.708,0.006,0.408,0.015,0.018
20120805,29.75,0.006,0.367,0.017,0.015
20120806,29.458,0.009,0.458,0.01,0.018
20120807,29.542,0.007,0.475,0.012,0.019
20120808,23.792,0.005,0.446,0.014,0.018
20120810,49.125,0.012,0.592,0.018,0.028
20120811,33.792,0.008,0.5,0.016,0.019
20120812,33.083,0.008,0.396,0.011,0.013
20120813,30.708,0.005,0.417,0.009,0.012
20120814,26.375,0.005,0.521,0.013,0.017
20120815,26.25,0.005,0.337,0.007,0.007
20120817,41.0,0.011,0.529,0.007,0.038
20120818,35.708,0.009,0.421,0.007,0.034
20120819,24.167,0.007,0.342,0.007,0.03
20120820,29.917,0.007,0.408,0.007,0.032
20120821,32.5,0.008,0.433,0.007,0.034
20120823,20.042,0.005,0.546,0.006,0.033
20120825,34.083,0.005,0.487,0.01,0.032
20120826,32.208,0.006,0.433,0.011,0.031
20120827,27.75,0.005,0.417,0.011,0.03
20120828,44.417,0.004,0.333,0.014,0.029
20120829,61.542,0.006,0.513,0.014,0.032
20120901,43.5,0.007,0.521,0.016,0.055
20120902,42.25,0.007,0.471,0.017,0.038
20120905,26.042,0.006,0.438,0.011,0.035
20120906,47.458,0.009,0.567,0.017,0.046
20120907,29.458,0.006,0.504,0.018,0.036
20120908,24.583,0.006,0.438,0.012,0.029
20120909,20.542,0.004,0.483,0.015,0.031
20120910,17.667,0.004,0.554,0.013,0.03
20120911,20.958,0.005,0.5,0.016,0.028
20120913,42.292,0.013,0.533,0.009,0.053
20120920,48.25,0.006,0.583,0.022,0.047
20120921,60.333,0.008,0.742,0.013,0.062
20120922,73.375,0.011,0.717,0.019,0.067
20120923,45.292,0.006,0.571,0.018,0.035
20120924,32.5,0.006,0.558,0.016,0.037
20120926,25.083,0.005,0.438,0.015,0.032
20120927,22.792,0.005,0.458,0.014,0.032
20120928,30.75,0.007,0.517,0.011,0.042
20120929,27.333,0.004,0.417,0.022,0.021
20120930,19.167,0.005,0.458,0.02,0.023
20121001,20.583,0.007,0.513,0.017,0.031
20121002,19.5,0.005,0.475,0.012,0.033
20121003,20.458,0.004,0.408,0.02,0.022
20121004,21.708,0.006,0.475,0.013,0.035
20121007,36.542,0.005,0.462,0.018,0.029
20121008,24.292,0.004,0.429,0.016,0.032
20121009,23.875,0.005,0.429,0.014,0.034
20121011,37.875,0.005,0.458,0.019,0.03
20121012,29.167,0.004,0.467,0.013,0.036
20121013,37.792,0.007,0.567,0.011,0.05
20121014,60.875,0.006,0.613,0.017,0.051
20121015,43.542,0.005,0.471,0.02,0.034
20121016,35.167,0.005,0.467,0.016,0.031
20121020,78.0,0.008,0.792,0.016,0.059
20121021,70.958,0.011,0.775,0.016,0.061
20121022,42.625,0.006,0.637,0.014,0.042
20121023,23.042,0.004,0.379,0.025,0.024
20121026,50.833,0.006,0.671,0.01,0.051
20121027,27.083,0.005,0.525,0.012,0.04
20121028,27.75,0.005,0.483,0.02,0.026
20121030,34.417,0.006,0.475,0.016,0.031
20121031,32.625,0.005,0.454,0.016,0.03
20121101,25.583,0.004,0.375,0.018,0.025
20121102,27.542,0.006,0.462,0.012,0.036
20121103,34.75,0.005,0.571,0.008,0.043
20121104,22.958,0.005,0.4,0.015,0.032
20121105,44.0,0.006,0.479,0.013,0.033
20121106,27.583,0.006,0.554,0.018,0.027
20121108,76.0,0.009,0.592,0.021,0.031
20121109,84.542,0.009,0.625,0.013,0.037
20121110,37.875,0.005,0.388,0.018,0.023
20121111,18.958,0.005,0.404,0.015,0.019
20121112,41.25,0.006,0.375,0.016,0.02
20121113,36.125,0.008,0.404,0.016,0.021
20121114,19.75,0.004,0.363,0.015,0.017
20121120,28.958,0.005,0.425,0.013,0.026
20121121,42.583,0.007,0.683,0.005,0.042
20121124,41.25,0.005,0.446,0.014,0.026
20121127,23.667,0.004,0.429,0.011,0.026
20121130,40.542,0.005,0.513,0.006,0.034
20121201,39.917,0.006,0.458,0.013,0.025
20121202,17.542,0.005,0.413,0.011,0.025
20121203,36.083,0.006,0.575,0.009,0.031
20121204,22.958,0.005,0.371,0.016,0.023
20121207,32.375,0.005,0.588,0.007,0.035
20121208,33.833,0.005,0.45,0.012,0.025
20121209,21.5,0.004,0.388,0.017,0.018
20121210,20.125,0.004,0.367,0.013,0.02
20121211,20.042,0.005,0.417,0.014,0.023
20121213,42.875,0.007,0.85,0.004,0.044
20121214,48.667,0.007,1.0,0.004,0.042
20121215,52.917,0.007,0.954,0.006,0.029
20121216,29.75,0.006,0.592,0.01,0.029
20121219,21.542,0.005,0.417,0.016,0.021
20121220,29.333,0.006,0.533,0.012,0.033
20121221,25.167,0.006,0.658,0.007,0.037
20121222,32.125,0.007,0.542,0.017,0.022
20121223,32.792,0.006,0.458,0.021,0.015
20121224,23.458,0.005,0.467,0.014,0.023
20121225,34.292,0.007,0.504,0.013,0.025
20121227,30.375,0.007,0.646,0.007,0.038
20121228,23.917,0.005,0.612,0.006,0.032
20121229,44.5,0.006,0.808,0.006,0.037
20121230,19.875,0.005,0.479,0.019,0.014
20121231,21.292,0.006,0.517,0.014,0.025
20130101,66.292,0.01,0.667,0.01,0.031
20130103,15.75,0.004,0.367,0.017,0.016
20130104,24.125,0.005,0.463,0.012,0.026
20130105,24.083,0.005,0.471,0.014,0.025
20130106,46.167,0.008,0.604,0.014,0.025
20130107,33.5,0.006,0.546,0.012,0.032
20130108,45.708,0.008,0.588,0.013,0.03
20130110,20.292,0.005,0.404,0.018,0.018
20130111,39.083,0.008,0.592,0.01,0.035
20130112,55.625,0.01,0.887,0.006,0.046
20130113,77.042,0.007,0.804,0.007,0.04
20130114,80.417,0.01,0.688,0.018,0.026
20130116,69.667,0.008,0.683,0.015,0.034
20130117,67.542,0.007,0.65,0.015,0.025
20130118,57.708,0.006,0.621,0.015,0.029
20130119,42.75,0.006,0.533,0.013,0.028
20130120,71.583,0.008,0.742,0.009,0.039
20130122,23.708,0.005,0.621,0.009,0.031
20130123,31.125,0.006,0.546,0.014,0.03
20130124,57.333,0.008,0.688,0.016,0.027
20130125,21.583,0.005,0.408,0.018,0.021
20130126,19.292,0.005,0.392,0.017,0.022
20130130,94.875,0.009,0.996,0.005,0.06
20130131,91.833,0.008,0.912,0.005,0.062
20130201,45.833,0.006,0.6,0.01,0.036
20130202,21.917,0.005,0.442,0.017,0.023
20130203,28.167,0.005,0.492,0.012,0.032
20130204,32.75,0.006,0.629,0.01,0.034
20130205,36.708,0.006,0.583,0.012,0.035
20130207,28.208,0.004,0.433,0.019,0.02
20130208,24.917,0.004,0.417,0.013,0.023
20130209,23.458,0.004,0.404,0.018,0.021
20130210,43.583,0.007,0.5,0.019,0.022
20130211,37.0,0.007,0.496,0.015,0.027
20130212,37.042,0.006,0.562,0.012,0.031
20130214,57.667,0.013,0.763,0.007,0.048
20130215,55.708,0.008,0.508,0.016,0.033
20130216,22.75,0.007,0.454,0.015,0.027
20130217,31.042,0.007,0.583,0.007,0.036
