Date,PM10,SO2,CO,O3,NO2
2020010101,13.0,0.003,0.3,0.034,0.008
2020010102,12.0,0.003,0.3,0.033,0.007
2020010103,12.0,0.003,0.3,0.036,0.006
2020010104,13.0,0.003,0.3,0.035,0.005
2020010105,14.0,0.003,0.3,0.034,0.005
2020010106,14.0,0.003,0.4,0.033,0.006
2020010107,11.0,0.003,0.4,0.031,0.007
2020010108,13.0,0.003,0.4,0.03,0.009
2020010109,13.0,0.003,0.4,0.027,0.012
2020010110,13.0,0.003,0.4,0.027,0.013
2020010111,14.0,0.003,0.4,0.031,0.008
2020010112,14.0,0.003,0.4,0.033,0.008
2020010113,16.0,0.003,0.4,0.034,0.008
2020010114,10.0,0.003,0.4,0.035,0.009
2020010115,17.0,0.003,0.3,0.038,0.009
2020010116,17.0,0.003,0.3,0.037,0.011
2020010117,17.0,0.003,0.3,0.035,0.013
2020010118,21.0,0.003,0.4,0.032,0.016
2020010119,20.0,0.003,0.5,0.017,0.031
2020010120,27.0,0.003,0.4,0.023,0.023
2020010121,27.0,0.003,0.4,0.026,0.019
2020010122,23.0,0.003,0.4,0.027,0.018
2020010123,30.0,0.003,0.4,0.03,0.013
2020010124,26.0,0.003,0.4,0.032,0.01
2020010201,28.0,0.003,0.4,0.032,0.008
2020010202,32.0,0.003,0.4,0.031,0.01
2020010203,36.0,0.003,0.4,0.032,0.008
2020010204,30.0,0.003,0.4,0.033,0.007
2020010205,36.0,0.003,0.4,0.03,0.008
2020010206,34.0,0.003,0.4,0.031,0.009
2020010207,34.0,0.003,0.4,0.033,0.009
2020010208,40.0,0.004,0.4,0.03,0.012
2020010209,43.0,0.004,0.5,0.021,0.021
2020010210,49.0,0.004,0.5,0.026,0.017
2020010211,50.0,0.004,0.5,0.027,0.019
2020010212,54.0,0.004,0.5,0.031,0.017
2020010213,55.0,0.004,0.5,0.032,0.019
2020010214,49.0,0.004,0.5,0.035,0.02
2020010215,57.0,0.004,0.5,0.033,0.027
2020010216,53.0,0.004,0.4,0.034,0.026
2020010217,54.0,0.004,0.4,0.035,0.027
2020010218,53.0,0.004,0.6,0.018,0.045
2020010219,69.0,0.004,0.5,0.02,0.039
2020010220,59.0,0.004,0.5,0.025,0.031
2020010221,58.0,0.004,0.5,0.021,0.031
2020010222,63.0,0.003,0.5,0.024,0.026
2020010223,62.0,0.003,0.5,0.029,0.019
2020010224,60.0,0.003,0.5,0.033,0.015
2020010301,57.0,0.003,0.5,0.037,0.01
2020010302,59.0,0.003,0.5,0.038,0.009
2020010303,63.0,0.003,0.5,0.039,0.008
2020010304,60.0,0.004,0.5,0.04,0.008
2020010305,64.0,0.004,0.5,0.041,0.007
2020010306,62.0,0.004,0.5,0.043,0.009
2020010307,61.0,0.004,0.5,0.039,0.014
2020010308,58.0,0.004,0.5,0.042,0.011
2020010309,53.0,0.004,0.5,0.037,0.015
2020010310,56.0,0.004,0.5,0.038,0.014
2020010311,51.0,0.004,0.5,0.033,0.019
2020010312,59.0,0.004,0.4,0.035,0.019
2020010313,56.0,0.004,0.5,0.037,0.019
2020010314,57.0,0.004,0.4,0.039,0.019
2020010315,43.0,0.004,0.4,0.033,0.027
2020010316,42.0,0.003,0.4,0.037,0.023
2020010317,41.0,0.003,0.4,0.035,0.025
2020010318,50.0,0.003,0.5,0.022,0.038
2020010319,52.0,0.004,0.7,0.009,0.052
2020010320,59.0,0.004,0.6,0.017,0.04
2020010321,55.0,0.004,0.5,0.023,0.033
2020010322,41.0,0.004,0.5,0.025,0.028
2020010323,39.0,0.003,0.4,0.034,0.017
2020010324,34.0,0.003,0.4,0.038,0.012
2020010401,30.0,0.003,0.4,0.039,0.01
2020010402,27.0,0.003,0.4,0.039,0.009
2020010403,28.0,0.003,0.4,0.039,0.009
2020010404,26.0,0.003,0.4,0.036,0.01
2020010405,31.0,0.004,0.4,0.039,0.009
2020010406,27.0,0.004,0.4,0.038,0.01
2020010407,21.0,0.004,0.4,0.032,0.018
2020010408,26.0,0.004,0.4,0.033,0.017
2020010409,23.0,0.004,0.4,0.034,0.016
2020010410,24.0,0.004,0.4,0.027,0.023
2020010411,33.0,0.004,0.4,0.026,0.026
2020010412,32.0,0.004,0.4,0.033,0.019
2020010413,35.0,0.004,0.4,0.036,0.017
2020010414,32.0,0.004,0.5,0.038,0.017
2020010415,37.0,0.004,0.5,0.037,0.017
2020010416,38.0,0.004,0.5,0.037,0.019
2020010417,43.0,0.004,0.5,0.035,0.021
2020010418,41.0,0.004,0.5,0.025,0.031
2020010419,43.0,0.004,0.5,0.025,0.032
2020010420,40.0,0.004,0.4,0.032,0.022
2020010421,35.0,0.004,0.6,0.026,0.029
2020010422,37.0,0.004,0.5,0.03,0.022
2020010423,38.0,0.004,0.5,0.032,0.019
2020010424,40.0,0.004,0.5,0.03,0.018
2020010501,39.0,0.004,0.5,0.03,0.017
2020010502,43.0,0.004,0.5,0.03,0.017
2020010503,39.0,0.004,0.7,0.013,0.034
2020010504,46.0,0.004,0.7,0.009,0.037
2020010505,41.0,0.004,0.7,0.009,0.036
2020010506,41.0,0.004,0.7,0.004,0.045
2020010507,62.0,0.005,0.7,0.002,0.05
2020010508,45.0,0.005,0.7,0.002,0.05
2020010509,51.0,0.005,0.7,0.004,0.049
2020010510,64.0,0.004,0.7,0.008,0.045
2020010511,59.0,0.004,0.6,0.012,0.041
2020010512,61.0,0.004,0.6,0.021,0.032
2020010513,44.0,0.004,0.5,0.027,0.029
2020010514,34.0,0.005,0.5,0.026,0.032
2020010515,30.0,0.005,0.5,0.028,0.032
2020010516,34.0,0.006,0.5,0.022,0.039
2020010517,35.0,0.005,0.5,0.018,0.043
2020010518,39.0,0.005,0.5,0.017,0.045
2020010519,34.0,0.004,0.6,0.01,0.05
2020010520,40.0,0.004,0.5,0.017,0.041
2020010521,26.0,0.004,0.5,0.019,0.037
2020010522,27.0,0.004,0.5,0.017,0.038
2020010523,28.0,0.004,0.6,0.014,0.041
2020010524,28.0,0.003,0.6,0.012,0.042
2020010601,31.0,0.003,0.7,0.011,0.042
2020010602,30.0,0.003,0.7,0.006,0.046
2020010603,27.0,0.003,0.6,0.006,0.043
2020010604,24.0,0.003,0.5,0.013,0.036
2020010605,15.0,0.004,0.7,0.002,0.049
2020010606,24.0,0.004,0.7,0.002,0.053
2020010607,30.0,0.005,0.8,0.003,0.061
2020010608,42.0,0.004,0.6,0.005,0.052
2020010609,29.0,0.004,0.6,0.009,0.043
2020010610,26.0,0.005,0.9,0.004,0.058
2020010611,44.0,0.005,0.9,0.004,0.061
2020010612,40.0,0.004,0.6,0.005,0.052
2020010613,23.0,0.004,0.6,0.006,0.048
2020010614,24.0,0.004,0.6,0.005,0.05
2020010615,28.0,0.004,0.7,0.004,0.054
2020010616,29.0,0.004,0.6,0.005,0.052
2020010617,29.0,,,,
2020010618,28.0,0.004,0.6,0.002,0.053
2020010619,21.0,0.004,0.7,0.002,0.056
2020010620,21.0,0.003,0.6,0.005,0.049
2020010621,16.0,0.003,0.5,0.01,0.04
2020010622,14.0,0.003,0.5,0.008,0.042
2020010623,16.0,0.003,0.5,0.019,0.03
2020010624,13.0,0.003,0.4,0.024,0.025
2020010701,9.0,0.003,0.4,0.026,0.02
2020010702,7.0,0.003,0.4,0.028,0.02
2020010703,5.0,0.003,0.4,0.034,0.012
2020010704,3.0,0.003,0.3,0.033,0.011
2020010705,3.0,0.003,0.3,0.031,0.011
2020010706,5.0,0.003,0.4,0.014,0.027
2020010707,2.0,0.004,0.7,0.002,0.05
2020010708,13.0,0.004,0.8,0.002,0.057
2020010709,21.0,0.007,0.9,0.002,0.065
2020010710,29.0,0.003,0.5,0.008,0.041
2020010711,14.0,0.007,0.6,0.004,0.056
2020010712,27.0,0.005,0.6,0.004,0.053
2020010713,24.0,0.003,0.6,0.007,0.047
2020010714,19.0,0.003,0.4,0.015,0.039
2020010715,16.0,0.003,0.4,0.024,0.029
2020010716,23.0,0.003,0.4,0.028,0.024
2020010717,31.0,0.003,0.4,0.032,0.019
2020010718,30.0,0.003,0.3,0.03,0.021
2020010719,31.0,0.003,0.4,0.029,0.021
2020010720,31.0,0.003,0.3,0.034,0.015
2020010721,34.0,0.003,0.3,0.031,0.017
2020010722,33.0,0.003,0.3,0.037,0.012
2020010723,36.0,0.003,0.3,0.046,0.013
2020010724,12.0,0.003,0.3,0.047,0.013
2020010801,10.0,0.003,0.4,0.039,0.009
2020010802,13.0,0.003,0.6,0.028,0.01
2020010803,17.0,0.003,0.5,0.023,0.01
2020010804,14.0,0.003,0.4,0.028,0.009
2020010805,12.0,0.003,0.4,0.031,0.01
2020010806,10.0,0.003,0.4,0.032,0.011
2020010807,6.0,0.003,0.5,0.028,0.015
2020010808,4.0,0.003,0.5,0.021,0.022
2020010809,2.0,0.003,0.5,0.02,0.023
2020010810,6.0,0.003,0.5,0.027,0.018
2020010811,13.0,0.003,0.5,0.035,0.015
2020010812,18.0,0.003,0.5,0.039,0.014
2020010813,28.0,0.003,0.5,0.038,0.013
2020010814,29.0,0.003,0.5,0.038,0.013
2020010815,16.0,0.003,0.5,0.035,0.015
2020010816,21.0,0.003,0.5,0.033,0.017
2020010817,20.0,0.003,0.5,0.03,0.018
2020010818,19.0,0.003,0.5,0.025,0.024
2020010819,20.0,0.003,0.5,0.026,0.021
2020010820,19.0,0.003,0.5,0.027,0.017
2020010821,17.0,0.003,0.5,0.028,0.015
2020010822,19.0,0.003,0.5,0.03,0.012
2020010823,18.0,0.003,0.4,0.031,0.01
2020010824,17.0,0.002,0.4,0.031,0.009
2020010901,17.0,0.002,0.4,0.032,0.008
2020010902,18.0,0.002,0.4,0.034,0.006
2020010903,14.0,0.003,0.5,0.033,0.007
2020010904,16.0,0.003,0.5,0.033,0.009
2020010905,14.0,0.003,0.4,0.033,0.009
2020010906,21.0,0.003,0.4,0.033,0.011
2020010907,26.0,0.003,0.5,0.018,0.029
2020010908,35.0,0.003,0.4,0.026,0.021
2020010909,31.0,0.003,0.5,0.027,0.022
2020010910,32.0,0.003,0.5,0.025,0.026
2020010911,35.0,0.003,0.5,0.03,0.022
2020010912,39.0,0.003,0.4,0.04,0.014
2020010913,36.0,0.003,0.4,0.044,0.012
2020010914,29.0,0.003,0.4,0.045,0.012
2020010915,28.0,0.003,0.4,0.044,0.014
2020010916,23.0,0.003,0.4,0.041,0.017
2020010917,32.0,0.003,0.4,0.037,0.022
2020010918,27.0,0.003,0.5,0.024,0.035
2020010919,40.0,0.003,0.5,0.029,0.028
2020010920,34.0,0.003,0.5,0.025,0.033
2020010921,34.0,0.003,0.5,0.03,0.026
2020010922,34.0,0.003,0.4,0.039,0.017
2020010923,29.0,0.003,0.4,0.043,0.013
2020010924,27.0,0.003,0.4,0.043,0.012
2020011001,29.0,0.003,0.4,0.043,0.01
2020011002,28.0,0.003,0.4,0.041,0.01
2020011003,27.0,0.003,0.4,0.041,0.009
2020011004,29.0,0.003,0.4,0.037,0.011
2020011005,23.0,0.003,0.4,0.04,0.009
2020011006,32.0,0.003,0.5,0.02,0.032
2020011007,33.0,0.004,0.7,0.003,0.057
2020011008,49.0,0.004,0.7,0.002,0.059
2020011009,56.0,0.004,0.7,0.003,0.056
2020011010,58.0,0.004,0.8,0.005,0.055
2020011011,61.0,0.003,0.6,0.02,0.039
2020011012,35.0,0.004,0.6,0.013,0.042
2020011013,43.0,0.003,0.5,0.026,0.03
2020011014,27.0,0.004,0.5,0.022,0.037
2020011015,39.0,0.003,0.4,0.027,0.032
2020011016,32.0,0.005,0.5,0.014,0.05
2020011017,48.0,0.004,0.5,0.016,0.046
2020011018,42.0,0.004,0.6,0.013,0.048
2020011019,34.0,0.004,0.6,0.005,0.055
2020011020,44.0,0.004,0.6,0.005,0.051
2020011021,42.0,0.003,0.5,0.016,0.035
2020011022,29.0,0.003,0.4,0.021,0.03
2020011023,28.0,0.003,0.5,0.017,0.034
2020011024,29.0,0.003,0.4,0.029,0.019
2020011101,25.0,0.003,0.5,0.022,0.026
2020011102,30.0,0.003,0.5,0.017,0.032
2020011103,35.0,0.003,0.6,0.009,0.037
2020011104,32.0,0.003,0.6,0.008,0.038
2020011105,38.0,0.003,0.4,0.027,0.016
2020011106,24.0,0.003,0.4,0.028,0.015
2020011107,24.0,0.003,0.4,0.033,0.014
2020011108,25.0,0.004,0.4,0.026,0.018
2020011109,32.0,0.004,0.4,0.029,0.02
2020011110,35.0,0.004,0.4,0.04,0.014
2020011111,29.0,0.004,0.5,0.036,0.019
2020011112,41.0,0.004,0.5,0.041,0.017
2020011113,49.0,0.004,0.5,0.046,0.015
2020011114,55.0,0.004,0.5,0.05,0.014
2020011115,49.0,0.004,0.5,0.052,0.015
2020011116,49.0,0.004,0.5,0.052,0.016
2020011117,47.0,0.004,0.5,0.05,0.018
2020011118,53.0,0.004,0.5,0.046,0.02
2020011119,47.0,0.004,0.5,0.043,0.021
2020011120,51.0,0.004,0.5,0.039,0.023
2020011121,43.0,0.004,0.6,0.031,0.031
2020011122,44.0,0.003,0.5,0.038,0.02
2020011123,43.0,0.003,0.5,0.04,0.016
2020011124,35.0,0.003,0.5,0.043,0.013
2020011201,38.0,0.003,0.5,0.048,0.01
2020011202,38.0,0.003,0.5,0.045,0.01
2020011203,41.0,0.004,0.5,0.043,0.01
2020011204,45.0,0.004,0.5,0.042,0.01
2020011205,50.0,0.004,0.5,0.041,0.009
2020011206,49.0,0.004,0.5,0.038,0.01
2020011207,52.0,0.004,0.5,0.035,0.011
2020011208,57.0,0.003,0.5,0.03,0.014
2020011209,56.0,0.004,0.5,0.029,0.015
2020011210,55.0,0.004,0.5,0.033,0.013
2020011211,55.0,0.004,0.5,0.037,0.011
2020011212,55.0,0.003,0.4,0.041,0.01
2020011213,49.0,0.003,0.4,0.043,0.01
2020011214,26.0,0.003,0.3,0.044,0.011
2020011215,17.0,0.003,0.3,0.044,0.012
2020011216,19.0,0.003,0.3,0.044,0.012
2020011217,17.0,0.003,0.3,0.044,0.012
2020011218,14.0,0.003,0.3,0.042,0.012
2020011219,20.0,0.003,0.3,0.041,0.011
2020011220,22.0,0.003,0.3,0.039,0.01
2020011221,23.0,0.003,0.3,0.039,0.01
2020011222,24.0,0.003,0.3,0.039,0.009
2020011223,17.0,0.003,0.3,0.041,0.008
2020011224,14.0,0.003,0.3,0.041,0.007
2020011301,12.0,0.002,0.3,0.041,0.006
2020011302,14.0,0.003,0.3,0.042,0.006
2020011303,18.0,0.003,0.3,0.041,0.005
2020011304,17.0,0.003,0.3,0.04,0.006
2020011305,14.0,0.002,0.3,0.04,0.006
2020011306,14.0,0.003,0.3,0.038,0.008
2020011307,15.0,0.003,0.3,0.029,0.018
2020011308,14.0,0.003,0.3,0.033,0.014
2020011309,15.0,0.003,0.5,0.013,0.042
2020011310,31.0,0.003,0.4,0.021,0.031
2020011311,27.0,0.003,0.4,0.03,0.021
2020011312,23.0,0.003,0.3,0.034,0.017
2020011313,14.0,0.003,0.3,0.039,0.012
2020011314,15.0,0.003,0.3,0.038,0.013
2020011315,17.0,0.003,0.3,0.038,0.014
2020011316,17.0,0.003,0.3,0.037,0.015
2020011317,13.0,0.003,0.3,0.034,0.019
2020011318,12.0,0.003,0.4,0.032,0.02
2020011319,15.0,0.003,0.4,0.025,0.026
2020011320,17.0,0.003,0.5,0.016,0.034
2020011321,20.0,0.003,0.4,0.017,0.03
2020011322,22.0,0.003,0.4,0.026,0.02
2020011323,16.0,0.003,0.3,0.031,0.013
2020011324,18.0,0.003,0.3,0.033,0.011
2020011401,16.0,0.003,0.3,0.031,0.011
2020011402,20.0,0.003,0.3,0.031,0.009
