Date,PM10,SO2,CO,O3,NO2
2016010101,66.0,0.002,0.7,0.018,0.028
2016010102,60.0,0.002,0.6,0.025,0.019
2016010103,54.0,0.002,0.6,0.028,0.014
2016010104,48.0,0.002,0.6,0.029,0.013
2016010105,44.0,0.002,0.6,0.027,0.014
2016010106,50.0,0.002,0.6,0.02,0.022
2016010107,54.0,0.002,0.7,0.012,0.033
2016010108,55.0,0.002,0.7,0.02,0.022
2016010109,66.0,0.003,0.7,0.011,0.036
2016010110,78.0,0.002,0.6,0.023,0.024
2016010111,47.0,0.002,0.5,0.028,0.018
2016010112,,,,,
2016010113,,,,,
2016010114,,,,,
2016010115,,,,,
2016010116,,,,,
2016010117,,,,,
2016010118,,,,,
2016010119,,,,,
2016010120,,,,,
2016010121,,,,,
2016010122,,,,,
2016010123,,,,,
2016010124,,,,,
2016010201,,,,,
2016010202,,,,,
2016010203,,,,,
2016010204,,,,,
2016010205,,,,,
2016010206,,,,,
2016010207,,,,,
2016010208,,,,,
2016010209,,,,,
2016010210,,,,,
2016010211,,,,,
2016010212,,,,,
2016010213,64.0,0.005,0.7,0.017,0.043
2016010214,60.0,0.01,0.8,0.02,0.037
2016010215,50.0,0.012,1.0,0.02,0.039
2016010216,52.0,0.01,1.0,0.019,0.041
2016010217,64.0,0.009,0.8,0.021,0.041
2016010218,63.0,0.008,0.9,0.013,0.049
2016010219,66.0,0.007,0.9,0.01,0.055
2016010220,70.0,0.007,1.1,0.006,0.063
2016010221,81.0,0.005,1.0,0.005,0.06
2016010222,70.0,0.005,1.4,0.006,0.061
2016010223,85.0,0.004,0.9,0.011,0.046
2016010224,61.0,0.005,1.1,0.005,0.053
2016010301,88.0,0.005,1.3,0.007,0.046
2016010302,81.0,0.006,0.9,0.015,0.028
2016010303,55.0,0.007,1.1,0.009,0.036
2016010304,62.0,0.005,0.9,0.015,0.029
2016010305,62.0,0.005,1.0,0.01,0.033
2016010306,69.0,0.007,0.9,0.01,0.034
