Date,PM10,SO2,CO,O3,NO2
2019010101,26.0,0.003,0.4,0.022,0.016
2019010102,30.0,0.003,0.4,0.021,0.016
2019010103,28.0,0.003,0.4,0.02,0.016
2019010104,28.0,0.003,0.4,0.019,0.017
2019010105,32.0,0.004,0.4,0.026,0.012
2019010106,33.0,0.003,0.4,0.031,0.01
2019010107,,0.003,0.4,0.034,0.008
2019010108,28.0,0.003,0.4,0.033,0.009
2019010109,27.0,0.003,0.3,0.035,0.008
2019010110,24.0,0.003,0.3,0.037,0.007
2019010111,22.0,0.003,0.3,0.038,0.007
2019010112,24.0,0.003,0.3,0.038,0.007
2019010113,18.0,0.003,0.3,0.038,0.008
2019010114,19.0,0.003,0.3,0.042,0.006
2019010115,19.0,0.003,0.3,0.042,0.007
2019010116,22.0,0.003,0.3,0.039,0.01
2019010117,19.0,0.002,0.3,0.039,0.01
2019010118,23.0,0.003,0.4,0.039,0.009
2019010119,19.0,0.002,0.4,0.036,0.01
2019010120,29.0,0.003,0.4,0.035,0.011
2019010121,22.0,0.003,0.4,0.027,0.016
2019010122,26.0,0.003,0.4,0.031,0.013
2019010123,26.0,0.003,0.5,0.027,0.017
2019010124,31.0,0.003,0.4,0.029,0.014
2019010201,29.0,0.003,0.4,0.035,0.009
2019010202,31.0,0.003,0.4,0.038,0.007
2019010203,28.0,0.003,0.3,0.039,0.005
2019010204,25.0,0.003,0.3,0.04,0.004
2019010205,20.0,0.003,0.3,0.039,0.006
2019010206,22.0,0.003,0.3,0.037,0.008
2019010207,22.0,0.003,0.3,0.033,0.013
2019010208,27.0,0.003,0.3,0.031,0.014
2019010209,17.0,0.003,0.3,0.031,0.015
2019010210,14.0,0.003,0.3,0.033,0.014
2019010211,18.0,0.003,0.3,0.035,0.012
2019010212,21.0,0.003,0.3,0.038,0.01
2019010213,22.0,0.003,0.3,0.039,0.01
2019010214,19.0,0.003,0.3,0.039,0.011
2019010215,22.0,0.003,0.3,0.036,0.014
2019010216,27.0,0.003,0.3,0.037,0.015
2019010217,25.0,,,,
2019010218,20.0,0.003,0.3,0.031,0.02
2019010219,20.0,0.003,0.4,0.019,0.032
2019010220,17.0,0.003,0.4,0.015,0.036
2019010221,19.0,0.004,0.4,0.017,0.031
