Date,PM10,SO2,CO,O3,NO2
2017010101,31.0,0.004,0.4,0.018,0.022
2017010102,37.0,0.004,0.4,0.023,0.017
2017010103,37.0,0.004,0.4,0.026,0.015
2017010104,33.0,0.004,0.5,0.02,0.02
2017010105,41.0,0.004,0.4,0.032,0.011
2017010106,33.0,0.006,0.4,0.024,0.024
2017010107,50.0,0.008,0.6,0.005,0.048
2017010108,62.0,0.006,0.5,0.008,0.044
2017010109,50.0,0.006,0.5,0.018,0.033
2017010110,56.0,0.005,0.4,0.034,0.018
2017010111,45.0,0.006,0.4,0.032,0.019
2017010112,52.0,0.006,0.4,0.033,0.019
2017010113,56.0,0.006,0.4,0.037,0.018
2017010114,40.0,0.007,0.4,0.035,0.023
2017010115,52.0,0.007,0.4,0.03,0.03
2017010116,53.0,0.008,0.4,0.027,0.033
2017010117,54.0,0.008,0.6,0.014,0.047
2017010118,55.0,0.009,0.5,0.009,0.053
2017010119,55.0,0.008,0.7,0.005,0.056
2017010120,62.0,0.007,0.7,0.006,0.054
2017010121,64.0,0.006,0.6,0.013,0.046
2017010122,58.0,0.006,0.6,0.009,0.049
2017010123,57.0,0.007,0.7,0.005,0.056
2017010124,67.0,0.007,0.9,0.002,0.059
2017010201,70.0,0.01,0.7,0.014,0.043
2017010202,65.0,0.007,0.6,0.021,0.03
2017010203,59.0,0.008,0.7,0.01,0.041
2017010204,60.0,0.012,0.7,0.009,0.041
2017010205,68.0,0.011,0.6,0.031,0.016
2017010206,67.0,0.01,0.6,0.024,0.021
2017010207,67.0,0.01,0.6,0.02,0.027
2017010208,79.0,0.007,0.5,0.022,0.028
2017010209,68.0,0.007,0.5,0.012,0.046
2017010210,81.0,0.006,0.5,0.016,0.041
2017010211,66.0,0.007,0.4,0.019,0.04
2017010212,55.0,0.009,0.5,0.02,0.041
2017010213,72.0,0.006,0.4,0.028,0.03
2017010214,62.0,0.006,0.4,0.028,0.03
2017010215,56.0,0.014,0.4,0.016,0.045
2017010216,58.0,0.01,0.6,0.008,0.055
2017010217,73.0,0.01,0.6,0.007,0.056
2017010218,65.0,0.01,0.6,0.005,0.056
2017010219,53.0,0.008,0.6,0.005,0.055
2017010220,50.0,0.007,0.5,0.011,0.046
2017010221,43.0,0.005,0.3,0.025,0.028
2017010222,36.0,0.005,0.3,0.024,0.029
2017010223,32.0,0.005,0.3,0.024,0.027
2017010224,38.0,0.005,0.4,0.026,0.025
2017010301,46.0,0.005,0.3,0.035,0.014
2017010302,37.0,0.005,0.3,0.037,0.011
2017010303,40.0,0.005,0.3,0.038,0.01
2017010304,38.0,0.005,0.3,0.038,0.01
2017010305,39.0,0.005,0.3,0.037,0.011
2017010306,48.0,0.005,0.4,0.021,0.029
2017010307,55.0,0.006,0.4,0.012,0.038
2017010308,69.0,0.006,0.6,0.005,0.053
2017010309,79.0,0.006,0.6,0.014,0.044
2017010310,89.0,0.005,0.5,0.024,0.031
2017010311,66.0,0.005,0.4,0.029,0.025
