Date,PM10,SO2,CO,O3,NO2
2018010101,89.0,0.003,0.4,0.022,0.017
2018010102,74.0,0.003,0.4,0.022,0.016
2018010103,66.0,0.003,0.4,0.024,0.012
2018010104,57.0,0.003,0.3,0.024,0.01
2018010105,55.0,0.003,0.3,0.025,0.008
2018010106,68.0,0.004,0.3,0.023,0.011
2018010107,54.0,0.003,0.3,0.02,0.018
2018010108,46.0,0.003,0.3,0.018,0.021
2018010109,57.0,0.003,0.3,0.02,0.02
2018010110,52.0,0.004,0.3,0.021,0.018
2018010111,53.0,0.003,0.3,0.024,0.014
2018010112,54.0,0.003,0.3,0.025,0.01
2018010113,57.0,0.002,0.3,0.027,0.01
2018010114,41.0,0.003,0.3,0.028,0.01
2018010115,30.0,0.003,0.3,0.027,0.011
2018010116,28.0,0.003,0.3,0.026,0.014
2018010117,41.0,0.003,0.3,0.026,0.014
2018010118,41.0,0.003,0.4,0.021,0.022
2018010119,50.0,0.004,0.5,0.011,0.04
2018010120,53.0,0.004,0.5,0.013,0.037
2018010121,60.0,0.004,0.4,0.015,0.032
2018010122,64.0,0.004,0.4,0.013,0.036
2018010123,55.0,0.005,0.4,0.017,0.026
2018010124,61.0,0.004,0.4,0.018,0.024
2018010201,60.0,0.004,0.4,0.022,0.015
2018010202,63.0,0.003,0.4,0.024,0.011
2018010203,61.0,0.003,0.4,0.025,0.009
2018010204,55.0,0.003,0.4,0.025,0.009
2018010205,60.0,0.003,0.4,0.024,0.011
2018010206,45.0,0.003,0.4,0.021,0.016
2018010207,55.0,0.003,0.4,0.017,0.026
2018010208,59.0,0.004,0.5,0.016,0.031
2018010209,69.0,0.004,0.5,0.013,0.037
2018010210,85.0,0.004,0.5,0.012,0.049
2018010211,96.0,0.005,0.5,0.016,0.038
2018010212,91.0,0.004,0.4,0.021,0.028
2018010213,67.0,0.004,0.4,0.021,0.03
2018010214,89.0,0.004,0.4,0.026,0.027
2018010215,79.0,0.005,0.4,0.024,0.035
2018010216,119.0,0.005,0.4,0.025,0.034
2018010217,107.0,0.005,0.5,0.022,0.038
2018010218,122.0,0.007,0.5,0.012,0.053
2018010219,114.0,0.006,0.5,0.009,0.055
2018010220,109.0,0.005,0.6,0.012,0.052
2018010221,104.0,0.004,0.5,0.019,0.036
2018010222,116.0,0.004,0.5,0.019,0.038
2018010223,129.0,0.004,0.5,0.014,0.043
2018010224,124.0,0.004,0.5,0.019,0.033
2018010301,129.0,0.004,0.5,0.025,0.021
